"ID","GSM30361","GSM30362","GSM30363","GSM30364","GSM30365","GSM30366","GSM30367","GSM30368","GSM30369","GSM30370","GSM30371","GSM30372","GSM30373","GSM30374"
"219591_at",243.1,161.5,145.4,170.1,273.1,169.8,156.3,238.8,108.3,232.2,126,303.9,213,190.7
"219593_at",164,311.1,381.6,458.7,358.1,325.2,59.5,355.8,924.2,329.9,368.3,466.9,303.3,510.3
"219594_at",281.1,223.5,317.8,280.6,425.6,308.5,486.4,758.1,733.9,787.1,773.5,1102.7,259.3,541.7
"219595_at",346.9,195.2,326.8,365.4,176.5,39.1,42.7,130,155.8,120.4,22.9,149.2,272.9,174.1
"219600_s_at",659.7,911.1,656.7,699.4,341.3,137.3,445.6,303,427.8,253.3,205.8,56.4,298.4,390.5
"219601_s_at",9.3,7.9,5.8,11.1,12.6,95.3,24.4,6.9,21.3,13.5,16.5,10.8,13.6,14.4
"219603_s_at",256,280.6,289.2,309.9,208.4,184,440.6,172.5,211.1,220.2,147.6,162.7,235.8,196.2
"219607_s_at",110.6,719,155.4,192.3,183.6,461.3,610.5,302.3,324.9,263.1,410.7,851.6,125.2,242
"219610_at",208.9,156.6,91.2,175,155.8,48.7,148.5,42.8,110.7,172.1,101.8,38.2,139.4,91.1
"219612_s_at",97.4,49.6,67.7,64.7,61.3,5.1,108.9,39.4,43.7,66.8,23.8,21.7,36.1,32.5
"219613_s_at",693.1,358.3,276.7,399.6,289.6,393.2,45.3,504.6,459.4,269.1,262.9,394.7,273.6,332.5
"219614_s_at",42.1,6.9,8.7,7.2,22.6,62,55.6,26.7,15.4,12.1,10.1,16.7,33.2,9.9
"219615_s_at",58.9,67.5,62.6,147.3,38.1,125.6,161.9,171.2,88.5,52.8,53.7,158.5,74.7,225.8
"219618_at",356.7,290.1,363.7,312.6,271.2,433.6,10.9,268.3,221.5,199.5,279.6,348.1,146.1,145.1
"219621_at",9.7,33.4,14.1,11.8,105,59.6,56.4,35.1,19.9,102.6,21.5,109.2,20.1,56.3
"219624_at",126.7,123.9,168.3,170.1,159.2,141.9,361,102.4,137.9,84,131.3,143.6,116.6,268.4
