,GSM30361,GSM30362,GSM30363,GSM30364,GSM30365,GSM30366,GSM30367,GSM30368,GSM30369,GSM30370,GSM30371,GSM30372,GSM30373,GSM30374,ID,Gene Symbol
3148,205795_at,0.0002530791294077949,0.00015750682982201727,0.00024633513643950214,0.00044900097283544113,0.00041272067242404607,9.204079733627865e-05,0.00013533612665285195,0.0001928412356768727,0.0003310361431279907,0.00011109755672510541,0.0002368265245707519,0.00010602779281718103,0.00016392271254260938,0.0005109892046188725,POLG2
3149,205798_at,0.08170903892090611,0.055051352657791965,0.07357376983249213,0.10584177477839081,0.01928248732991914,0.009664283720309258,0.0019987581720237787,0.016699428941114994,0.0086327347454676,0.00651990171133805,0.014080413369933795,0.003726764121999639,0.006901566512691401,0.00812883976083356,TMED9
3150,205799_s_at,0.0027439105609476703,0.0038724955056240787,0.002815258702165739,0.004319933602280381,0.0006634595755633859,0.0001527270373382206,0.0030086785141317444,0.001755788347412817,0.0019217292984183352,0.0012460353420933393,0.0022767640884870013,0.0017957047464356613,0.0019334473787077009,0.0029484664450422303,MAT1A
3151,205803_s_at,0.003956026391269214,0.0015098930582938207,0.002558869070361359,0.006286013619696176,0.0010229259676746518,0.00041570074401330243,0.000966395155646747,0.00014463092675765453,0.0021366878329170304,0.0008147154159841065,0.001533989988696916,0.0009497383143836852,0.0016854617366560607,0.001996969305407088,GRM3
3152,205805_s_at,0.005629900633141822,0.0022811333974223184,0.0019053268716443122,0.0023878688100793916,0.002187863349516717,0.0003985063093460856,0.0016641583011031598,0.0004852134317030991,0.0006233797500462161,0.00035289812136209955,0.007992895204262876,0.0008504782530229201,0.0020763543588730527,0.0032068977669184417,REG3A
3153,205806_at,0.003099109339063874,0.0017054187780728767,0.0008194413722375275,0.0007619410448116577,0.0014201141416741371,7.585780000242745e-05,0.000591670503457192,0.0011259439889520632,0.000808244089715094,0.0001677355268202572,0.0005759190483879649,0.0005053239487457138,0.0020637449194466978,0.0010043580918370945,SIX1
3154,205807_s_at,0.009110848658680615,0.007630934341377044,0.008189386474692835,0.014762607743225867,0.0037388942636264384,0.0021402013974018198,0.0025836278650964053,0.0015256230016049365,0.008250108554059922,0.004197744937436827,0.01416114968512837,0.004721620646092763,0.006060937217601097,0.011206521866813894,BRINP1
3155,205809_s_at,0.0011499560441512082,0.0005865771593371676,0.002870558426672566,0.0007347288646398128,0.0026649329439853726,0.000992220024031751,0.000679400957418086,0.0018817572191049676,0.0028804443622825163,0.0008430344010316822,0.00039829915495990094,0.00032710702039343074,0.002341152586826498,0.00034065946974591506,MARCO
3156,205811_at,0.013124594851393712,0.016766330471054046,0.018067928170685112,0.016184444157204762,0.0045110813281617505,0.0011449470613699715,0.0030936886439388122,0.002999925351779738,0.006758296324638978,0.004907897947091422,0.008880994671403197,0.0009429705829272695,0.012042014652168613,0.00657237839044274,APOC3
3157,205812_s_at,0.07648317689787147,0.10413917086232273,0.08754951838967204,0.12733259406910533,0.046282407448498666,0.020708167963329326,0.0376084814266468,0.019201699491147965,0.0652915052686337,0.05461425185598271,0.09008019807309328,0.030448023822414728,0.08708078867840466,0.1259911428537866,KLRC4-KLRK1  KLRK1
